Ticker,Name,Sector,Industry,Snapshot Date,Overall Score,Grade,Profitability Score,Liquidity Score,Leverage Score,Growth Score,Cash Flow Score,Net Margin %,Operating Margin %,Gross Margin %,ROE %,ROCE %,Current Ratio,Quick Ratio,Debt to Equity,Interest Coverage,Asset Turnover,Free Cash Flow (Cr),Revenue Growth %,Compared Against,Sample Size
HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,2026-06-30,60.0,C — Average,43.3,50.0,50.0,90.0,90.0,28.4,0.0,0.0,8.77,0.0,0.0,0.0,0.95,0.0,0.05,112922.01,19.36,sector,5
ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,2026-06-30,57.0,C — Average,56.7,50.0,60.0,50.0,70.0,24.3,0.0,0.0,14.93,0.0,0.0,0.0,0.61,0.0,0.08,63595.42,8.53,sector,5
SBIN.NS,State Bank of India,Financial Services,Banks - Regional,2026-06-30,46.0,D — Below average,43.3,50.0,40.0,70.0,30.0,21.82,0.0,0.0,13.97,0.0,0.0,0.0,1.22,0.0,0.05,29734.43,9.21,sector,5
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,2026-06-30,49.0,D — Below average,43.3,50.0,70.0,30.0,50.0,24.72,0.0,0.0,10.64,0.0,0.0,0.0,0.53,0.0,0.08,40668.56,4.36,sector,5
AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,2026-06-30,38.0,D — Below average,63.3,50.0,30.0,10.0,10.0,29.96,0.0,0.0,12.27,0.0,0.0,0.0,1.3,0.0,0.05,-10846.71,4.01,sector,5
TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,2026-06-30,76.0,B — Above average,90.0,90.0,50.0,50.0,90.0,18.43,25.1,45.1,45.89,55.18,2.23,2.23,0.11,54.62,1.46,47948.0,4.58,sector,5
INFY.NS,Infosys Limited,Technology,Information Technology Services,2026-06-30,45.0,D — Below average,63.3,30.0,70.0,30.0,10.0,16.44,20.28,30.16,33.85,37.41,1.98,1.98,0.1,87.0,1.23,373.3,4.57,sector,5
WIPRO.NS,Wipro Limited,Technology,Information Technology Services,2026-06-30,28.0,E — Bottom performer in comparison group,23.3,50.0,10.0,10.0,50.0,14.25,16.1,29.16,14.91,14.68,2.05,2.05,0.23,18.86,0.65,13371.3,3.97,sector,5
HCLTECH.NS,HCL Technologies Limited,Technology,Information Technology Services,2026-06-30,66.0,B — Above average,50.0,70.0,65.0,90.0,70.0,12.79,31.36,41.03,22.14,48.35,2.22,2.21,0.07,46.97,1.12,18553.0,11.18,sector,5
TECHM.NS,Tech Mahindra Limited,Technology,Information Technology Services,2026-06-30,35.0,D — Below average,23.3,10.0,55.0,70.0,30.0,8.47,13.0,28.2,16.24,21.19,1.9,1.89,0.07,21.9,1.15,5476.3,7.22,sector,5
